,id,city_name,Humidity,Longitud,Latitud,Temperatura,Nubes,Velocidad
387,1563281,Tuy Hoa,65,109.3,13.0833,85.64,65,8.95
388,3443758,Artigas,73,-56.4667,-30.4,54.32,0,7.43
389,6323121,Florianópolis,82,-48.5012,-27.6146,66.2,0,4.61
390,4543762,Norman,63,-97.4395,35.2226,60.01,1,9.35
391,2063042,Port Hedland,31,118.5667,-20.3167,93.2,0,12.66
392,3728097,Les Cayes,76,-73.75,18.2,75.09,3,5.08
393,2347758,Bara,56,10.7288,10.3744,81.41,62,5.77
394,315367,Erzurum Province,93,41.5,40.0,42.8,40,4.14
395,517958,Novosheshminsk,65,51.2338,55.0651,44.71,11,6.69
396,1567788,Soc Trang,66,105.98,9.6033,89.6,75,10.36
